taxon,ol,ed,pd
Acanthurus_bahianus,6.583333333,6.914566667,3.282866667
Acanthurus_coeruleus,7.75,7.935,3.41205
Apogon_maculatus,7.175,7.7763,3.9675
Apogon_melas,7.75,8.5698,4.1262
Bothus_ocellatus,6.4,6.348,2.3805
Caesio_teres,11.05,11.109,5.2371
Cephalopholis_miniata,6.65,6.8241,3.9675
Cephalopholis_polleni,8.4,8.5698,3.8088
Cephalopholis_urodeta,8.45,7.935,4.1262
Cheilinus_chlorourus,7.9,7.7763,3.3327
Cheilinus_fasciatus,7.85,7.935,3.3327
Cirrhitichthys_oxycephalus,4.916666667,5.125166667,2.629666667
Clepticus_parrae,3.95,4.293333333,2.160083333
Cromileptes_altivelis,7.4,7.7763,4.4436
Cryptocentrus_sp.,4.25,5.5545,2.5392
Cyprinocirrhites_polyactis,6.075,6.31925,3.22
Diplectrum_formosum,11.15,10.7916,5.5545
Epibulus_insidiator,6.1,6.1893,2.6979
Epinephelus_fulvus,6.625,6.9828,4.04685
Epinephelus_guttatus,8.9,9.6807,5.3958
Epinephelus_ongus,7.05,7.5647,4.3378
Gramma_loreto,3.533333333,3.971333333,1.985666667
Halichoeres_pictus,5.04,5.313,2.3506
Hemigymnus_melapterus,6.15,5.5545,2.8566
Hypoplectrus_chlorurus,9.1,9.2046,4.9197
Hypoplectrus_puella,7.5875,7.69695,4.2253875
Hypoplectrus_unicolor,8.3375,8.96655,5.118075
Inermia_vittata,11,11.109,4.9197
Labrisomus_nuchipinnis,5.77,5.96804,3.00012
Liopropoma_carmabi,3.3,3.542,1.6905
Liopropoma_eukrines,4.1,4.025,2.254
Liopropoma_mowbrayi,3.3,3.6225,2.1735
Liopropoma_rubre,3.416666667,3.7835,2.280833333
Luzonichthys_waitei,3.65,3.864,1.61
Neoniphon_sammara,11.1,12.696,7.1415
Novaculichthys_taeniourus,6.3,6.1893,2.8566
Odontanthias_borbonius,9,9.6807,5.7132
Opistognathus_aurifrons,8.9,8.8872,4.761
Oxycirrhites_typus,3.975,4.669,2.576
Paracirrhites_arcatus,3.9,4.347,2.576
Paranthias_furcifer,7.72,7.96674,4.63404
Parapercis_millepunctata,4.5,4.4275,2.254
Pempheris_schomburgki,14.58333333,14.7,7.466666667
Pomacanthus_paru,7.775,7.85565,4.04685
Prionurus_microlepidotus,8.75,8.7285,4.9197
Pseudanthias_bartlettorum,4.075,4.568375,2.032625
Pseudanthias_evansi,3.75,4.508,1.952125
Pseudanthias_fasciatus,7.5,7.7763,3.4914
Pseudanthias_hutchii,5.15,5.313,2.898
Pseudanthias_pleurotaenia,5.825,6.42735,3.3922125
Pseudanthias_squamipinnis,5.55,6.409525,3.084875
Pseudocheilinus_evadinus,3.7625,3.98475,1.952125
Pseudogramma_gregoryi,3.2,2.6565,1.3685
Rypticus_maculatus,5.275,5.6327,2.93595
Sargocentron_coruscum,11.65,12.696,6.8241
Sargocentron_diadema,10.55,11.34705,5.31645
Sargocentron_vexillarium,10,10.3155,4.761
Scarus_iseri,5.9,6.252166667,2.576
Serranocirrhites_latus,4.425,4.87025,2.254
Serranus_annularis,3.725,4.2665,2.37475
Serranus_baldwini,4.2,4.299466667,2.415
Serranus_chionaraia,4.083333333,4.776333333,2.737
Serranus_phoebe,5.5,5.8627,3.11075
Serranus_tabacarius,5.716666667,6.2951,3.5972
Serranus_tigrinus,5.633333333,5.7661,3.4385
Serranus_tortugarum,4.775,4.932925,2.8474
Siganus_magnificus,9.025,9.2046,4.761
Siganus_puellus,9.95,10.4742,5.3958
Siganus_tetrazonus,8.2,8.8872,4.6023
Siganus_unimaculatus,8.9,8.8872,4.761
Sparisoma_aurofrenatum,6.35,6.7413,2.87155
Sparisoma_chrysopterum,5.775,6.30775,2.4748
Sparisoma_viride,6.35,6.6815,2.6565
Stegastes_fuscus,7.383333333,7.3531,3.703
Stegastes_leucostictus,6.85,6.8241,3.6501
Stegastes_partitus,5.183333333,5.447166667,2.898
Stegastes_variabilis,4.25,4.6023,2.5392
Variola_louti,5.3,5.8719,3.41205
Zoramia_leptacantha,4.55,4.991,2.77725
